Discount Name,Retailer,Link,Code,Description,How,Category,Location,University,Published,Placeholder
,Yoga Studio — Student Mat Class,https://example.com/yoga-studio,,$10 student rate for mat classes on weekdays.,Show student ID,fitness,,macquarie,FALSE,FALSE
,Public Transport Card Top-up Offer,https://example.com/transport-offer,,$5 bonus credit on first top-up using student email sign-up.,Register with student email,transport,,all,FALSE,FALSE
,Cheap Textbook Resale,https://example.com/textbook-resale,,Students can list textbooks for free and get 0% seller fees.,Sign up with student email,services,,all,FALSE,FALSE
,Student Meal Box,https://example.com/meal-box,MEAL30,Weekly student meal box subscription at 30% off first month.,Subscribe with student email,food,,uts,FALSE,FALSE
,Busker's Music Shop,https://example.com/music-shop,,10% off instrument rentals for students.,Show student ID,services,,western,FALSE,FALSE
,Campus Safe Ride Program,https://example.com/safe-ride,,Discounted late-night rides for students in partnered zones.,Verify student email in app,transport,,usyd,FALSE,FALSE
,UOW Campus Cafe,https://example.com/uow-cafe,,15% off hot drinks and sandwiches for UOW students when showing ID.,Show student ID at counter,food,,uow,FALSE,FALSE
,Wollongong Gym Student Rate,https://example.com/wollongong-gym,,$15/week student gym passes at partner Wollongong gyms.,Sign up with student email or show ID,fitness,,uow,FALSE,FALSE
,UOW Bookshop Discount,https://example.com/uow-bookshop,,10% off course texts and stationery for enrolled UOW students.,Present student ID at checkout,services,,uow,FALSE,FALSE
,Wollongong Cinema Students,https://example.com/wollongong-cinema,,$10 student tickets on Wednesdays at selected Wollongong cinemas.,Use student promo code online or show ID,entertainment,,uow,FALSE,FALSE
,UOW Bus Discount,https://example.com/uow-bus,,Discounted semester bus pass for UOW students living in greater Wollongong.,Register with student email,transport,,uow,FALSE,FALSE
,Wollongong Bike Repair,https://example.com/wollongong-bike,,12% off bike repairs and tune-ups for students.,Show student ID,services,,uow,FALSE,FALSE
,UOW Language Workshops,https://example.com/uow-language,,50% off selected language workshops for enrolled students.,Sign up with student email,study,,uow,FALSE,FALSE
,Furniture Hire — Student Pack,https://example.com/furniture-hire,,Discounted short-term furniture hire for students moving into share houses.,Verify with student email,housing,,all,FALSE,FALSE
,Student Storage Promo,https://example.com/student-storage,,First month free on student storage units near campuses.,Book online and use student code,housing,,all,FALSE,FALSE
,Online Tutoring Discount,https://example.com/tutoring,,Get 20% off online tutoring for university subjects with student verification.,Verify student email,study,,all,FALSE,FALSE
,Student Phone Plan — Discount,https://example.com/phone-plan,,$10/month student mobile plans for first 6 months with student ID verification.,Verify with student ID or email,services,,all,FALSE,FALSE
,Art Supplies Student Discount,https://example.com/art-supplies,,15% off art supplies for students with student card.,Show student ID,services,,uts,FALSE,FALSE
,Student Co-living Discount,https://example.com/coliving,,Reduced deposit for student co-living spaces near UNSW.,Apply with student email,housing,,unsw,FALSE,FALSE
,Music Lessons — Student Rate,https://example.com/music-lessons,,Discounted private music lessons for students.,Book with student email,services,,all,FALSE,FALSE
,Discounted 3D Printing,https://example.com/3d-printing,,Student 3D printing service at reduced rates for project work.,Upload student ID when ordering,services,,uts,FALSE,FALSE
,Student Gym — Wollongong Climb,https://example.com/wollongong-climb,,Discounted student passes for climbing walls and classes.,Show student ID,fitness,,uow,FALSE,FALSE
,GitHub Student Developer Pack,https://education.github.com/pack,,"Free and discounted developer tools for students including cloud credits, CI/CD, and more — verify with your student email to claim the pack.",Verify using GitHub Education (student email or ID),software,,all,FALSE,FALSE
,Opal Concession & Student Info,https://transportnsw.info/tickets-opal/opal-card-concessions,,Information on Opal concession fares and student eligibility — check Transport NSW for current rules and how to apply for concession or student options.,Check eligibility on Transport NSW and follow their application instructions,transport,,all,FALSE,FALSE
